company,aws_service,datetime,gross_cost
tyrell,s3,2024-01-09 11:00:00,1.97
ingen,cloudwatch,2024-01-09 12:00:00,11.88
cyberdyne,s3,2024-01-09 13:00:00,15.17
cyberdyne,infinidash,2024-01-09 13:00:00,191.93
cyberdyne,s3,2024-01-09 15:00:00,16.15
weyland-yutani,sagemaker,2024-01-09 16:00:00,695.41
weyland-yutani,cloudwatch,2024-01-09 16:00:00,50.61
weyland-yutani,ec2,2024-01-09 19:00:00,263.42
weyland-yutani,sagemaker,2024-01-10 00:00:00,688.04
weyland-yutani,ec2,2024-01-10 01:00:00,2250.0
weyland-yutani,infinidash,2024-01-10 01:00:00,211.89
weyland-yutani,sagemaker,2024-01-10 02:00:00,3965.49
weyland-yutani,infinidash,2024-01-10 06:00:00,137.41
weyland-yutani,sagemaker,2024-01-10 06:00:00,662.5
cyberdyne,ec2,2024-01-10 07:00:00,111.94
cyberdyne,s3,2024-01-10 07:00:00,11.99
weyland-yutani,sagemaker,2024-01-10 11:00:00,6993.41
cyberdyne,ec2,2024-01-10 13:00:00,97.73
cyberdyne,cloudwatch,2024-01-10 15:00:00,46.11
cyberdyne,ec2,2024-01-10 15:00:00,38.28
ingen,s3,2024-01-10 17:00:00,156.0
ingen,ec2,2024-01-10 17:00:00,46.9
ingen,cloudwatch,2024-01-10 17:00:00,31.57
weyland-yutani,infinidash,2024-01-10 19:00:00,266.33
weyland-yutani,cloudwatch,2024-01-10 19:00:00,103.22
cyberdyne,cloudwatch,2024-01-10 20:00:00,21.36
cyberdyne,ec2,2024-01-10 20:00:00,69.89
weyland-yutani,sagemaker,2024-01-10 21:00:00,1421.92
cyberdyne,s3,2024-01-10 22:00:00,24.46
cyberdyne,infinidash,2024-01-10 22:00:00,52.06
cyberdyne,s3,2024-01-11 00:00:00,38.83
weyland-yutani,infinidash,2024-01-11 02:00:00,116.8
weyland-yutani,cloudwatch,2024-01-11 02:00:00,57.88
cyberdyne,s3,2024-01-11 03:00:00,8.6
weyland-yutani,cloudwatch,2024-01-11 10:00:00,26.33
weyland-yutani,sagemaker,2024-01-11 10:00:00,1067.09
weyland-yutani,s3,2024-01-11 13:00:00,27.59
weyland-yutani,ec2,2024-01-11 13:00:00,669.4
weyland-yutani,cloudwatch,2024-01-11 13:00:00,128.38
cyberdyne,cloudwatch,2024-01-11 15:00:00,9.7
cyberdyne,ec2,2024-01-11 15:00:00,71.1
weyland-yutani,sagemaker,2024-01-11 16:00:00,3854.86
weyland-yutani,ec2,2024-01-11 16:00:00,370.57
weyland-yutani,infinidash,2024-01-11 16:00:00,112.5
cyberdyne,s3,2024-01-11 19:00:00,18.49
cyberdyne,cloudwatch,2024-01-11 19:00:00,43.24
weyland-yutani,cloudwatch,2024-01-11 21:00:00,129.7
cyberdyne,s3,2024-01-12 00:00:00,10.3
cyberdyne,ec2,2024-01-12 00:00:00,306.18
cyberdyne,infinidash,2024-01-12 01:00:00,62.2
cyberdyne,infinidash,2024-01-12 02:00:00,94.61
weyland-yutani,sagemaker,2024-01-12 03:00:00,2242.36
weyland-yutani,cloudwatch,2024-01-12 07:00:00,246.46
weyland-yutani,infinidash,2024-01-12 07:00:00,648.58
weyland-yutani,sagemaker,2024-01-12 07:00:00,4110.78
cyberdyne,infinidash,2024-01-12 08:00:00,260.96
weyland-yutani,ec2,2024-01-12 09:00:00,1317.17
weyland-yutani,infinidash,2024-01-12 10:00:00,456.03
weyland-yutani,sagemaker,2024-01-12 10:00:00,3379.69
ingen,ec2,2024-01-12 12:00:00,65.92
weyland-yutani,ec2,2024-01-12 15:00:00,96.21
weyland-yutani,infinidash,2024-01-12 15:00:00,3375.0
cyberdyne,ec2,2024-01-12 17:00:00,10.0
cyberdyne,infinidash,2024-01-12 17:00:00,214.97
cyberdyne,s3,2024-01-12 20:00:00,4.4
weyland-yutani,sagemaker,2024-01-12 20:00:00,978.35
weyland-yutani,ec2,2024-01-12 20:00:00,157.62
weyland-yutani,infinidash,2024-01-12 20:00:00,532.08
weyland-yutani,cloudwatch,2024-01-12 20:00:00,91.25
tyrell,s3,2024-01-12 21:00:00,1.43
cyberdyne,ec2,2024-01-12 23:00:00,345.86
weyland-yutani,cloudwatch,2024-01-12 23:00:00,71.62
weyland-yutani,infinidash,2024-01-12 23:00:00,420.14
ingen,s3,2024-01-13 02:00:00,4.94
ingen,infinidash,2024-01-13 02:00:00,147.91
tyrell,cloudwatch,2024-01-13 02:00:00,1.73
weyland-yutani,ec2,2024-01-13 02:00:00,175.89
weyland-yutani,sagemaker,2024-01-13 02:00:00,2197.93
cyberdyne,infinidash,2024-01-13 03:00:00,120.3
ingen,cloudwatch,2024-01-13 04:00:00,25.68
ingen,infinidash,2024-01-13 04:00:00,220.67
tyrell,s3,2024-01-13 05:00:00,3.84
cyberdyne,cloudwatch,2024-01-13 06:00:00,71.86
tyrell,ec2,2024-01-13 06:00:00,4.87
weyland-yutani,sagemaker,2024-01-13 07:00:00,1834.75
weyland-yutani,infinidash,2024-01-13 07:00:00,229.4
cyberdyne,ec2,2024-01-13 08:00:00,412.85
weyland-yutani,ec2,2024-01-13 09:00:00,203.95
weyland-yutani,sagemaker,2024-01-13 09:00:00,574.38
weyland-yutani,sagemaker,2024-01-13 13:00:00,1222.75
weyland-yutani,ec2,2024-01-13 13:00:00,1455.3
cyberdyne,ec2,2024-01-13 16:00:00,119.77
cyberdyne,sagemaker,2024-01-13 16:00:00,241.89
weyland-yutani,infinidash,2024-01-13 16:00:00,1077.29
weyland-yutani,sagemaker,2024-01-13 16:00:00,710.35
weyland-yutani,ec2,2024-01-13 16:00:00,81.23
tyrell,cloudwatch,2024-01-13 22:00:00,9.31
weyland-yutani,ec2,2024-01-13 22:00:00,336.18
cyberdyne,ec2,2024-01-14 01:00:00,48.45
cyberdyne,infinidash,2024-01-14 04:00:00,273.28
weyland-yutani,sagemaker,2024-01-14 04:00:00,9000.0
weyland-yutani,ec2,2024-01-14 04:00:00,387.54
ingen,infinidash,2024-01-14 07:00:00,272.97
tyrell,sagemaker,2024-01-14 08:00:00,121.83
cyberdyne,cloudwatch,2024-01-14 11:00:00,25.02
cyberdyne,infinidash,2024-01-14 11:00:00,534.9
tyrell,sagemaker,2024-01-14 11:00:00,67.6
weyland-yutani,cloudwatch,2024-01-14 11:00:00,123.9
weyland-yutani,infinidash,2024-01-14 12:00:00,361.54
weyland-yutani,sagemaker,2024-01-14 12:00:00,2093.97
weyland-yutani,cloudwatch,2024-01-14 12:00:00,85.7
cyberdyne,ec2,2024-01-14 14:00:00,177.66
cyberdyne,ec2,2024-01-14 15:00:00,210.52
cyberdyne,infinidash,2024-01-14 15:00:00,591.79
cyberdyne,s3,2024-01-14 17:00:00,17.96
cyberdyne,infinidash,2024-01-14 17:00:00,38.66
weyland-yutani,cloudwatch,2024-01-14 18:00:00,122.53
cyberdyne,cloudwatch,2024-01-14 20:00:00,14.14
weyland-yutani,infinidash,2024-01-14 23:00:00,3375.0
cyberdyne,sagemaker,2024-01-15 00:00:00,872.64
cyberdyne,ec2,2024-01-15 00:00:00,148.3
cyberdyne,cloudwatch,2024-01-15 00:00:00,1.0
weyland-yutani,cloudwatch,2024-01-15 00:00:00,91.14
cyberdyne,infinidash,2024-01-15 02:00:00,44.81
cyberdyne,cloudwatch,2024-01-15 02:00:00,10.9
cyberdyne,ec2,2024-01-15 02:00:00,150.53
cyberdyne,infinidash,2024-01-15 07:00:00,216.67
cyberdyne,ec2,2024-01-15 07:00:00,32.15
weyland-yutani,ec2,2024-01-15 09:00:00,470.87
cyberdyne,ec2,2024-01-15 10:00:00,40.94
cyberdyne,cloudwatch,2024-01-15 11:00:00,3.77
tyrell,sagemaker,2024-01-15 13:00:00,42.46
cyberdyne,s3,2024-01-15 15:00:00,11.23
weyland-yutani,infinidash,2024-01-15 15:00:00,1606.21
weyland-yutani,ec2,2024-01-15 15:00:00,96.54
cyberdyne,ec2,2024-01-15 17:00:00,24.02
cyberdyne,cloudwatch,2024-01-15 17:00:00,14.14
cyberdyne,cloudwatch,2024-01-15 22:00:00,6.01
cyberdyne,s3,2024-01-15 22:00:00,24.57
cyberdyne,infinidash,2024-01-15 22:00:00,51.13
weyland-yutani,ec2,2024-01-16 01:00:00,570.75
weyland-yutani,sagemaker,2024-01-16 02:00:00,1182.55
cyberdyne,infinidash,2024-01-16 04:00:00,83.07
cyberdyne,s3,2024-01-16 05:00:00,27.02
cyberdyne,ec2,2024-01-16 07:00:00,56.24
weyland-yutani,ec2,2024-01-16 07:00:00,2055.24
weyland-yutani,cloudwatch,2024-01-16 07:00:00,450.0
ingen,ec2,2024-01-16 10:00:00,95.13
weyland-yutani,ec2,2024-01-16 10:00:00,156.26
weyland-yutani,s3,2024-01-16 17:00:00,48.42
weyland-yutani,ec2,2024-01-16 17:00:00,1564.52
cyberdyne,ec2,2024-01-16 18:00:00,234.44
weyland-yutani,infinidash,2024-01-16 18:00:00,168.56
weyland-yutani,s3,2024-01-16 18:00:00,49.99
weyland-yutani,cloudwatch,2024-01-16 18:00:00,196.8
ingen,s3,2024-01-16 19:00:00,94.16
ingen,ec2,2024-01-16 19:00:00,101.63
cyberdyne,cloudwatch,2024-01-16 23:00:00,62.96
weyland-yutani,ec2,2024-01-16 23:00:00,51.2
weyland-yutani,infinidash,2024-01-16 23:00:00,387.1
weyland-yutani,cloudwatch,2024-01-17 01:00:00,51.45
weyland-yutani,sagemaker,2024-01-17 01:00:00,1046.09
weyland-yutani,infinidash,2024-01-17 01:00:00,878.56
ingen,s3,2024-01-17 02:00:00,5.66
weyland-yutani,cloudwatch,2024-01-17 02:00:00,450.0
tyrell,sagemaker,2024-01-17 03:00:00,45.35
cyberdyne,cloudwatch,2024-01-17 04:00:00,20.2
cyberdyne,ec2,2024-01-17 06:00:00,23.68
weyland-yutani,sagemaker,2024-01-17 08:00:00,751.22
weyland-yutani,ec2,2024-01-17 08:00:00,106.94
cyberdyne,ec2,2024-01-17 10:00:00,129.92
cyberdyne,infinidash,2024-01-17 10:00:00,94.37
ingen,s3,2024-01-17 10:00:00,62.7
ingen,infinidash,2024-01-17 10:00:00,303.11
weyland-yutani,s3,2024-01-17 13:00:00,162.99
weyland-yutani,ec2,2024-01-17 13:00:00,264.68
weyland-yutani,cloudwatch,2024-01-17 13:00:00,80.59
cyberdyne,s3,2024-01-17 16:00:00,41.74
cyberdyne,ec2,2024-01-17 16:00:00,368.18
ingen,ec2,2024-01-17 16:00:00,164.57
ingen,cloudwatch,2024-01-17 16:00:00,30.89
weyland-yutani,infinidash,2024-01-17 19:00:00,438.11
cyberdyne,infinidash,2024-01-17 20:00:00,25.0
ingen,sagemaker,2024-01-17 22:00:00,681.95
cyberdyne,cloudwatch,2024-01-18 02:00:00,27.21
cyberdyne,infinidash,2024-01-18 02:00:00,25.81
ingen,ec2,2024-01-18 02:00:00,184.57
weyland-yutani,cloudwatch,2024-01-18 02:00:00,55.73
cyberdyne,cloudwatch,2024-01-18 06:00:00,21.99
weyland-yutani,cloudwatch,2024-01-18 07:00:00,19.18
weyland-yutani,sagemaker,2024-01-18 07:00:00,1106.07
ingen,ec2,2024-01-18 08:00:00,365.49
ingen,s3,2024-01-18 08:00:00,21.46
tyrell,sagemaker,2024-01-18 08:00:00,99.73
cyberdyne,cloudwatch,2024-01-18 09:00:00,22.76
weyland-yutani,sagemaker,2024-01-18 10:00:00,2854.63
weyland-yutani,infinidash,2024-01-18 10:00:00,342.19
cyberdyne,ec2,2024-01-18 12:00:00,10.0
weyland-yutani,ec2,2024-01-18 16:00:00,125.93
weyland-yutani,sagemaker,2024-01-18 16:00:00,1282.52
cyberdyne,cloudwatch,2024-01-18 17:00:00,45.37
weyland-yutani,ec2,2024-01-18 20:00:00,855.62
cyberdyne,ec2,2024-01-18 22:00:00,73.7
cyberdyne,s3,2024-01-18 22:00:00,7.93
cyberdyne,infinidash,2024-01-18 23:00:00,750.0
cyberdyne,s3,2024-01-19 01:00:00,33.26
tyrell,cloudwatch,2024-01-19 01:00:00,2.36
weyland-yutani,s3,2024-01-19 01:00:00,55.86
weyland-yutani,sagemaker,2024-01-19 01:00:00,494.99
cyberdyne,s3,2024-01-19 02:00:00,6.26
cyberdyne,ec2,2024-01-19 04:00:00,136.14
cyberdyne,cloudwatch,2024-01-19 04:00:00,12.34
cyberdyne,ec2,2024-01-19 08:00:00,67.23
cyberdyne,cloudwatch,2024-01-19 09:00:00,13.82
tyrell,cloudwatch,2024-01-19 09:00:00,3.58
weyland-yutani,ec2,2024-01-19 10:00:00,877.04
weyland-yutani,infinidash,2024-01-19 10:00:00,508.31
cyberdyne,infinidash,2024-01-19 11:00:00,25.0
cyberdyne,s3,2024-01-19 13:00:00,5.19
cyberdyne,cloudwatch,2024-01-19 13:00:00,17.64
cyberdyne,s3,2024-01-19 18:00:00,4.06
weyland-yutani,ec2,2024-01-19 21:00:00,104.67
tyrell,sagemaker,2024-01-20 02:00:00,146.62
weyland-yutani,infinidash,2024-01-20 03:00:00,180.94
weyland-yutani,cloudwatch,2024-01-20 03:00:00,41.37
cyberdyne,ec2,2024-01-20 07:00:00,44.79
cyberdyne,s3,2024-01-20 07:00:00,33.13
ingen,ec2,2024-01-20 09:00:00,98.67
ingen,cloudwatch,2024-01-20 09:00:00,27.26
weyland-yutani,s3,2024-01-20 09:00:00,37.8
weyland-yutani,cloudwatch,2024-01-20 09:00:00,84.9
tyrell,cloudwatch,2024-01-20 10:00:00,3.25
cyberdyne,cloudwatch,2024-01-20 12:00:00,4.09
tyrell,s3,2024-01-20 12:00:00,2.38
weyland-yutani,cloudwatch,2024-01-20 14:00:00,450.0
weyland-yutani,ec2,2024-01-20 14:00:00,281.58
weyland-yutani,sagemaker,2024-01-20 14:00:00,2752.91
weyland-yutani,s3,2024-01-20 14:00:00,43.69
weyland-yutani,ec2,2024-01-20 18:00:00,220.33
cyberdyne,cloudwatch,2024-01-20 21:00:00,19.18
cyberdyne,s3,2024-01-20 22:00:00,100.0
weyland-yutani,ec2,2024-01-20 22:00:00,415.37
weyland-yutani,sagemaker,2024-01-20 22:00:00,1615.15
weyland-yutani,cloudwatch,2024-01-20 22:00:00,115.89
weyland-yutani,sagemaker,2024-01-20 23:00:00,702.75
weyland-yutani,ec2,2024-01-20 23:00:00,234.5
tyrell,infinidash,2024-01-21 00:00:00,12.05
tyrell,sagemaker,2024-01-21 01:00:00,255.04
cyberdyne,cloudwatch,2024-01-21 03:00:00,10.84
cyberdyne,infinidash,2024-01-21 03:00:00,243.08
ingen,cloudwatch,2024-01-21 05:00:00,9.78
ingen,ec2,2024-01-21 05:00:00,57.24
weyland-yutani,cloudwatch,2024-01-21 05:00:00,36.28
weyland-yutani,s3,2024-01-21 05:00:00,58.0
weyland-yutani,sagemaker,2024-01-21 05:00:00,1539.31
cyberdyne,ec2,2024-01-21 06:00:00,63.03
weyland-yutani,cloudwatch,2024-01-21 10:00:00,128.71
ingen,infinidash,2024-01-21 11:00:00,115.48
ingen,s3,2024-01-21 11:00:00,15.45
tyrell,s3,2024-01-21 11:00:00,14.01
tyrell,infinidash,2024-01-21 13:00:00,14.53
weyland-yutani,infinidash,2024-01-21 14:00:00,296.95
cyberdyne,s3,2024-01-21 18:00:00,86.31
cyberdyne,infinidash,2024-01-21 18:00:00,193.81
weyland-yutani,sagemaker,2024-01-21 20:00:00,1074.85
weyland-yutani,infinidash,2024-01-21 20:00:00,1113.56
weyland-yutani,sagemaker,2024-01-21 21:00:00,2737.35
cyberdyne,s3,2024-01-22 03:00:00,44.04
weyland-yutani,ec2,2024-01-22 03:00:00,364.46
weyland-yutani,infinidash,2024-01-22 03:00:00,112.5
cyberdyne,s3,2024-01-22 04:00:00,5.11
cyberdyne,infinidash,2024-01-22 04:00:00,364.38
weyland-yutani,cloudwatch,2024-01-22 04:00:00,63.3
weyland-yutani,s3,2024-01-22 04:00:00,20.3
weyland-yutani,infinidash,2024-01-22 10:00:00,764.11
weyland-yutani,cloudwatch,2024-01-22 10:00:00,17.42
cyberdyne,s3,2024-01-22 12:00:00,11.74
cyberdyne,infinidash,2024-01-22 12:00:00,82.67
ingen,ec2,2024-01-22 16:00:00,94.87
tyrell,s3,2024-01-22 18:00:00,8.6
weyland-yutani,infinidash,2024-01-22 19:00:00,1588.03
cyberdyne,s3,2024-01-22 20:00:00,19.37
weyland-yutani,ec2,2024-01-22 20:00:00,474.71
cyberdyne,s3,2024-01-22 23:00:00,2.76
weyland-yutani,cloudwatch,2024-01-22 23:00:00,450.0
weyland-yutani,s3,2024-01-22 23:00:00,76.87
weyland-yutani,infinidash,2024-01-22 23:00:00,655.19
weyland-yutani,infinidash,2024-01-23 00:00:00,112.5
weyland-yutani,sagemaker,2024-01-23 00:00:00,7171.31
weyland-yutani,ec2,2024-01-23 00:00:00,368.75
weyland-yutani,infinidash,2024-01-23 01:00:00,125.87
weyland-yutani,cloudwatch,2024-01-23 01:00:00,39.38
weyland-yutani,sagemaker,2024-01-23 01:00:00,944.51
